park_name,park_code,State,Latitude,Longitude,Acres,category,common_names,scientific_name,observations,conservation_status
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Nonvascular Plant,Knights Plume Moss,Ptilium crista-castrensis,109,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Western Waterweed,Elodea nuttallii,158,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Waterweed,Elodea nuttallii,158,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Bonaparte's Gull,Larus philadelphia,167,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Zizia trifoliata,135,Species of Concern
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",Amaranthus retroflexus,247,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Careless Weed, Redroot Amaranth, Red-Root Amaranth, Redroot Pigweed, Rough Pigweed",Amaranthus retroflexus,247,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Thunberg's Geranium,Geranium thunbergii,150,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bulrush, Cottongrass Bulrush",Scirpus cyperinus,73,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bulrush, Woolgrass",Scirpus cyperinus,73,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Pioneer Violet,Viola glabella,261,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Amphibian,Eastern Spadefoot,Scaphiopus holbrookii holbrookii,177,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Glyceria striata,117,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",Glyceria striata,117,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Cusick's Speedwell,Veronica cusickii,84,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Fineleaf Sheep Fescue,Festuca filiformis,79,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Pine Rose,Rosa pinetorum,96,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Creeping Jennie, Moneywort",Lysimachia nummularia,140,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Digynum Flax, Northwestern Yellowflax",Sclerolinon digynum,116,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Camissonia sierrae ssp. alticola,84,Species of Concern
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Idaho Fescue,Festuca idahoensis,239,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Cornel-Leaf Whitetop,Doellingeria infirma,262,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Northern White Violet, Smooth White Violet",Viola macloskeyi ssp. pallens,71,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Crepping Thistle, Canada Thistle",Cirsium arvense,85,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Canada Thistle,Cirsium arvense,85,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Autumn Olive,Elaeagnus umbellata,176,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",Cornus alternifolia,148,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Common Purslane,Portulaca oleracea,76,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Portulaca oleracea,76,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Autumn Olive,Elaeagnus umbellata,85,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Missouri Goldenrod,Solidago missouriensis var. missouriensis,112,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Parry's Silene,Silene parryi,68,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Sweet-Spire, Tasselwhite, Virginia Willow",Itea virginica,235,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Butler's Sandparsley,Ammoselinum butleri,283,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Oriental White Cedar,Platycladus orientalis,25,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,White Meadowfoam,Limnanthes alba ssp. versicolor,246,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Long-Leaved Panic Grass,Panicum rigidulum var. pubescens,158,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Prairie Willow,Salix humilis var. humilis,64,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Hepatica,Hepatica nobilis,281,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Naked Buckwheat,Eriogonum nudum var. deductum,88,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",Penstemon procerus,67,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Bighead Goldenbush, Singlehead Goldenbush, Single-Head Heath-Goldenrod",Ericameria suffruticosa,254,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Broad-Leaved Spanglegrass, Indian Sea-Oats",Chasmanthium latifolium,152,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Emersed Bur-Reed,Sparganium emersum ssp. emersum,80,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",Ribes rotundifolium,147,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,American Pachysandra,Pachysandra procumbens,213,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Common Sunflower,Helianthus annuus,265,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Annual Sunflower, Common Sunflower, Sunflower, Wild Sunflower",Helianthus annuus,265,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Blarina brevicauda,77,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",Polygonum viviparum,107,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",Astragalus purshii var. purshii,156,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Orthocarpus luteus,47,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Fen Orchid, Fen Orchis",Liparis loeselii,157,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",Cornus canadensis,89,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",Arctostaphylos uva-ursi,154,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Dyer's Woad,Isatis tinctoria,127,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,San Benito Poppy,Eschscholzia hypecoides,106,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Tofieldia glabra,75,Species of Concern
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Mammal,White-Tailed Deer,Odocoileus virginianus,36,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Mammal,"White-Tailed Deer, White-Tailed Deer",Odocoileus virginianus,36,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Hairy Bedstraw,Galium pilosum var. puncticulosum,137,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Common Twinpod,Physaria didymocarpa var. didymocarpa,244,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Reptile,Common Garter Snake,Thamnophis sirtalis sirtalis,63,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"False Dandelion, Mountain Krigia",Krigia montana,214,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,Panther (Mountain Lion),Puma concolor,92,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,"Cougar, Mountain Lion, Puma",Puma concolor,92,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Mammal,Mountain Lion,Puma concolor,92,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",Sphaeralcea coccinea,108,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Fish,Northern Hog Sucker,Hypentelium nigricans,54,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Common Cryptantha, Quill Cryptantha",Cryptantha affinis,105,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",Pellaea atropurpurea,115,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Sycamore,Platanus occidentalis,98,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",Plantago rugelii,223,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",Lewisia nevadensis,82,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",Arenaria congesta var. subcongesta,90,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Hedge Bindweed,Calystegia sepium,218,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",Carex backii,58,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,River Birch,Betula nigra,106,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Oak,Quercus,59,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bridal-Wreath, Spiraea",Spiraea prunifolia,48,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",Andropogon glomeratus,65,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Nonvascular Plant,Didymodon Moss,Didymodon fallax var. reflexus,208,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,White Beaksedge,Rhynchospora alba,88,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Cooper's Hawk,Accipiter cooperii,95,Species of Concern
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Amphibian,Longtail Salamander,Eurycea longicauda longicauda,147,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",Scleria oligantha,70,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Stellate Orthotrichum Moss,Orthotrichum stellatum,71,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Great Laurel, Rosebay Rhododendron",Rhododendron maximum,100,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,White Mulberry,Morus alba,49,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bunchberry Elder, Red Elderberry",Sambucus racemosa var. racemosa,77,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Sierra Threadplant,Nemacladus interior,100,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Sphagnum,Sphagnum subsecundum,73,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Brewer's Blackbird,Euphagus cyanocephalus,79,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",Eleocharis quinqueflora,106,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Arrowhead Rattlebox,Crotalaria sagittalis,56,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Burnweed,Erechtites hieracifolia,134,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Carpenter's Square Figwort, Figwort",Scrophularia marilandica,89,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Sweet White Violet,Viola blanda var. blanda,108,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Wall Barley,Hordeum murinum ssp. murinum,115,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Lapland Longspur,Calcarius lapponicus,91,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Northern Agrostis,Agrostis mertensii,135,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Arctic Bentgrass, Northern Bentgrass",Agrostis mertensii,135,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Ovenbird,Seiurus aurocapilla,86,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Pink Turtlehead,Chelone lyonii,244,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Squashberry,Viburnum edule,136,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",Platanthera obtusata,116,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Amphibian,Boreal Chorus Frog,Pseudacris maculata,109,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",Chasmanthium sessiliflorum,257,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Tapered Rosette Grass,Dichanthelium acuminatum var. acuminatum,123,Species of Concern
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",Osmorhiza berteroi,263,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",Hackelia nervosa,168,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Woodland Bluegrass,Poa sylvestris,118,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"False Indigo, False Indigo-Bush",Amorpha fruticosa,258,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Mayweed, Stinking Chamomile",Anthemis cotula,252,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",Anthemis cotula,252,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Bitter Dock,Rumex obtusifolius,27,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",Clarkia rhomboidea,92,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,American Barberry,Berberis canadensis,74,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Bolander's Bluegrass,Poa bolanderi,135,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,Golden-Crowned Sparrow,Zonotrichia atricapilla,94,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Pine,Pinus,94,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Potentilla fruticosa,71,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Bird,Red-Headed Woodpecker,Melanerpes erythrocephalus,84,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Violet Crabgrass,Digitaria violascens,132,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",Hypochaeris radicata,57,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Spotted Cats-Ear, Hairy Cats-Ear, Gosmore",Hypochaeris radicata,57,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Common Cat's-Ear, False Dandelion, Frogbit, Gosmore, Hairy Cat's Ear, Hairy Catsear, Spotted Catsear",Hypochaeris radicata,57,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",Phacelia egena,282,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Nonvascular Plant,Oersted's Atrichum Moss,Atrichum oerstedianum,74,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"California Sugar Pine, Sugar Pine",Pinus lambertiana,116,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",Thalictrum alpinum,110,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Twinleaf,Jeffersonia diphylla,258,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Feverwort,Triosteum perfoliatum,257,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Red Huckleberry,Vaccinium parvifolium,253,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Nonvascular Plant,Sematophyllum Moss,Sematophyllum demissum,109,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Creeping Phlox,Phlox stolonifera,247,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",Cryptantha muricata,267,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",Pseudoroegneria spicata,156,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Spotted Mandarin,Prosartes maculatum,105,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Bracted Dodder, Sessile Dodder",Cuscuta compacta,140,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Farr's Willow,Salix farriae,108,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Tall Tickseed,Coreopsis tripteris,86,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Bird,Orange-Crowned Warbler,Vermivora celata,106,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",Malus angustifolia,71,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Bird,Steller's Jay,Cyanocitta stelleri,230,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Scentbottle,Platanthera dilatata var. dilatata,257,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Coastal Lipfern,Cheilanthes intertexta,124,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",Carex lenticularis var. lipocarpa,112,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",Floerkea proserpinacoides,131,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,Lamp Rush,Juncus effusus var. solutus,131,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Arrow Thelypody, Slender Thelypody",Thelypodium sagittatum,164,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Rose Campion,Lychnis coronaria,260,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Bird,American Goldfinch,Carduelis tristis,110,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",Cicuta douglasii,119,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",Melanthium latifolium,167,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",Lespedeza procumbens,233,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Rocky Mountain Rush,Juncus ensifolius var. montanus,83,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",Osmorhiza depauperata,67,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Canteloupe,Cucumis melo,80,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Sweet White Violet,Viola blanda var. blanda,245,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Fish,Rainbow Trout,Oncorhynchus mykiss,118,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Fish,Rainbow Trout,Oncorhynchus mykiss,118,Threatened
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Bugleweed, Carpet-Bugel",Ajuga reptans,60,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",Ranunculus pusillus,82,
Yosemite National Park,YOSE,CA,37.83,-119.5,761266,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",Taraxacum ceratophorum,151,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",Oxytropis parryi,66,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Bristly Dogstail Grass,Cynosurus echinatus,75,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",Platanthera stricta,76,
Yellowstone National Park,YELL,"WY, MT, ID",44.6,-110.5,2219791,Vascular Plant,Sierra Shootingstar,Dodecatheon subalpinum,206,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Rumex paucifolius,86,
Bryce National Park,BRCA,UT,37.57,-112.18,35835,Vascular Plant,Marsh Flatsedge,Cyperus pseudovegetus,108,
Great Smoky Mountains National Park,GRSM,"TN, NC",35.68,-83.53,521490,Vascular Plant,Northern Crabapple,Malus coronaria,75,
